"bad_num","mid_num","good_num","dis_num","cmmt_num","consume","ord_cnt","sale_amt","user_cnt","rtn_amt","rtn_cnt","offer_amt","offer_cnt","sale_nextmonth"
0,0,26,0,26,0,114,14572.27,114,392.17,8,239.1,24,66341.9099999999
0,1,407,20,408,101653.74,582,66341.9099999999,582,903.05,16,3663.48,218,135478.96
2,3,902,23,907,24396.79,1150,135478.96,1148,2472.85,39,5615.71,406,160418.43
6,10,724,22,740,0,1368,160418.43,1364,2702.39,48,8965.87999999999,706,143917.889999999
8,15,578,20,601,0,1179,143917.889999999,1179,3237.27,54,4688.3,433,105965.46
5,4,268,10,277,0,844,105965.46,843,3015.49,50,1188.62,131,78392.7999999999
2,10,209,7,221,0,591,78392.7999999999,590,1511.98,25,1037.61,121,83452.5299999999
1,8,250,8,259,15209.22,639,83452.5299999999,638,1808.46,28,2023.71999999999,202,64165.4200000003
3,3,11,4,17,0,166,14256.5,166,545.21,13,327.52,101,36401.95
0,2,28,0,30,0,339,36401.95,338,942.49,18,316.01,69,77969.83
6,10,96,22,112,0,699,77969.83,697,2825.54,58,2765.02,534,60386.02
10,13,91,18,114,0,585,60386.02,585,1021.61,23,2691.53999999999,463,37717.72
10,6,130,7,146,0,586,37717.72,586,1217.69,33,2076.55,318,14332.74
3,4,32,3,39,0,129,14332.74,129,473.47,10,419.49,109,18386.91
3,7,39,4,49,0,197,18386.91,195,405.02,10,196.87,49,32405.0199999999
6,3,121,7,130,0,420,32405.0199999999,418,640.09,16,502.290000000001,124,36481.89
0,0,16,3,16,71479.4,157,23480.19,157,544.46,7,349.87,120,47043.93
5,1,86,10,92,68075.6,350,47043.93,350,924.85,13,4927.82,270,65361.64
4,3,246,14,253,0,440,65361.64,439,1652.49,22,3487.52,375,105946.68
6,5,265,32,276,120796.88,698,105946.68,698,1883.66,28,4917.1,537,126523.5
10,6,547,20,563,222410.51,777,126523.5,775,1494.84,22,2398.51,267,77317.58
12,8,193,22,213,433703.96,464,77317.58,464,1679.37,21,0,0,34455.23
2,7,89,3,98,174818.38,215,34455.23,214,1261.75,17,151.12,10,55842.2299999999
9,1,101,12,111,233179.44,368,55842.2299999999,368,2158.88,33,966.95,126,50663.3999999999
2,1,175,2,178,5348.07,489,52483.56,489,98.59,2,340.070000000001,338,48558.61
5,0,168,2,173,6561.22,417,48558.61,417,0,0,154.74,146,42117.86
1,1,206,6,208,157589.7,341,42117.86,341,97.12,2,226.16,137,14259.7
1,1,68,16,70,237.65,126,14259.7,126,0,0,532.16,80,6918.18
0,9,35,5,44,0,62,6918.18,62,0,0,311.97,30,6200.37
0,1,26,1,27,391346.92,53,6200.37,52,0,0,0,0,10406.13
0,0,23,3,23,371789.48,83,10406.13,83,0,0,0,0,13481.72
1,0,27,6,28,198820.45,126,13481.72,126,0,0,52.02,6,24042.49
0,1,11156,0,11157,0,1004,40034.7300000001,1004,367.15,4,64721.76,989,57747.7900000001
0,0,24043,1,24043,0,722,57747.7900000001,722,342,5,44301.11,707,79613.5499999999
0,0,2308,1,2308,0,422,79613.5499999999,422,515.03,5,13022.05,422,51732.9000000001
3,1,2321,34,2325,0,233,51732.9000000001,233,978.99,10,3960.06000000001,231,14673.05
1,0,16,2,17,0,62,14673.05,62,683.51,7,596.14,55,7645.05
0,1,6,2,7,0,33,7645.05,33,288.79,3,316.46,31,61327.41
1,0,1629,0,1630,0,394,61327.41,394,676.16,9,4933.64,84,145852.41
1,1,3771,3,3773,0,876,145852.41,876,1640.24,21,1390.75,108,30908.13
4,0,2117,65,2121,112933.57,1449,56543.99,1449,376.26,9,33547.31,562,70944.05
14,92,9175,50,9281,394253.9,2074,70944.05,2073,259.72,8,39256.6,690,76369.18
24,21,18381,198,18426,328500.38,2500,76369.18,2500,126.92,10,36633.15,685,96750.2799999999
161,72,15076,156,15309,29821.75,3357,96750.2799999999,3352,139.83,9,43540.87,911,78729.5599999999
81,165,18935,107,19181,70288.4,2865,78729.5599999999,2865,38.26,1,27586.25,685,23899.67
30,39,4168,79,4237,30296.58,818,23899.67,818,109.62,7,6774.15,208,26823.61
15,0,4353,72,4368,58093.02,706,26823.61,706,99.32,10,11204.89,226,65985.02
15,0,7835,246,7850,11245.25,1456,65985.02,1456,32.37,2,42471.53,736,13505.42
3,6,71,9,80,0,791,50791.65,789,392.5,13,13992.48,749,83243.54
1,4,987,9,992,0,1302,83243.54,1298,123.23,5,26117.1700000001,1258,103056.43
6,16,1147,22,1169,0,1620,103056.43,1619,391.4,16,27214.2700000001,1508,117489.52
16,18,857,36,891,0,2052,117489.52,2046,712.89,25,36990.0700000001,1938,73248.6200000001
8,17,510,25,535,0,1392,73248.6200000001,1390,213.73,6,26893.1100000001,1267,24480.9899999999
6,3,122,9,131,0,369,24480.9899999999,367,134.64,4,6368.10000000001,330,31855.0399999999
2,6,130,9,138,0,517,31855.0399999999,516,318.95,6,8443.54000000002,463,92585.1000000002
2,7,637,24,646,0,1651,92585.1000000002,1647,352.41,11,29601.0600000001,1612,67398.75
1,5,185,31,191,527730.93,730,85733.5900000004,730,376.72,7,2127.09,616,71559.3600000003
2,5,343,27,350,717910.91,590,71559.3600000003,590,626.13,11,1666.16,398,25717.55
1,2,83,14,86,247579.49,211,25717.55,211,343.97,6,494.8,109,34000.2
4,6,94,13,104,770711.61,278,34000.2,278,0,0,2827.47,198,73861.2000000001
4,2,341,25,347,537570.3,592,73861.2000000001,592,531.12,10,23452.7700000001,587,27650.18
1,0,96,14,97,83193.15,225,27650.18,225,221.46,4,9219.56999999999,222,55157.3699999999
2,2,119,17,123,402100.36,470,55157.3699999999,470,210.21,4,18611.49,428,84915.4400000001
3,5,207,44,215,490013.41,743,84915.4400000001,743,414.16,8,28657.6200000001,674,66669.7999999999
2,21,1527,18,1550,0,1841,88604.08,1837,1061.85,58,625.68,62,70471.7600000001
8,15,2583,16,2606,0,1572,70471.7600000001,1569,911.88,52,5835.75999999998,894,78238.6600000001
18,27,2530,10,2575,0,1441,78238.6600000001,1438,776.48,42,3777.21,835,184534.82
4,10,2645,31,2659,0,1881,184534.82,1881,1505.5,41,13997.41,1318,150976.49
5,8,1093,4,1106,0,1250,150976.49,1249,1024.33,19,7057.26999999999,952,70603.0400000001
27,7,579,11,613,0,678,70603.0400000001,678,524.97,13,2073.44999999999,658,91697.97
1,1,796,15,798,0,1031,91697.97,1031,1198.97,29,4406.31999999999,576,175008.82
7,5,3075,22,3087,0,2138,175008.82,2137,1760.95,41,16321.2700000001,2132,182436.9
0,0,5,1,5,42257.32,26,4413.1,26,161.13,2,0,0,4308.82
1,0,7,0,8,0,25,4308.82,25,179.52,2,91.33,16,4443.64
0,0,4,3,4,0,34,4443.64,33,36.42,1,71.75,21,7951.5
0,1,20,10,21,0,61,7951.5,61,58.49,1,435.6,36,5588.44
0,0,24,6,24,0,40,5588.44,40,182.84,2,124,26,3592.91
0,0,6,0,6,0,23,3592.91,23,0,0,53.36,15,9944.38
0,1,8,1,9,0,56,9944.38,56,69.53,1,221.96,45,15393.5
2,0,19,4,21,0,103,15393.5,103,419.38,5,252.08,67,11150.5
0,1,55,0,56,0,143,21659.05,143,211.16,3,132.48,20,80725.38
0,0,127,2,127,0,388,80725.38,388,2318.39,24,11.04,2,129677.43
1,1,147,5,149,0,612,129677.43,610,3444.11,29,0,0,116176.3
0,0,233,9,233,0,567,116176.3,567,3569.19,36,0,0,93276.71
0,1,173,2,174,0,455,93276.71,454,1906,21,0,0,62138.0899999999
0,0,90,3,90,0,339,62138.0899999999,338,3561.46,25,0,0,93553.26
1,0,191,8,192,0,567,93553.26,567,3685.8,39,0,0,89617.01
0,2,204,5,206,0,519,89617.01,518,3214.13,32,0,0,50306.41
1,13,389,15,403,8084.49,1337,77528.8500000002,1333,76.88,3,41188.1400000001,1333,121717.550000001
2,10,591,46,603,2435.82,1946,121717.550000001,1944,96.75,3,54123.5999999997,1943,170776.44
9,14,838,52,861,99.62,2626,170776.44,2625,167.65,7,70599.38,2620,221816.479999998
22,16,1067,70,1105,0,3538,221816.479999998,3535,380.22,15,104965.48,3537,62903.3099999998
26,25,598,47,649,0,1014,62903.3099999998,1013,194.12,9,36402.4199999999,1012,47366.6599999999
10,11,216,10,237,0,665,47366.6599999999,662,152.99,6,25006.6999999999,664,21873.23
12,8,152,24,172,0,492,21873.23,492,42.64,3,13707.87,487,47571.48
22,7,405,32,434,0,1403,47571.48,1403,286.36,12,28385.01,1401,77881.7700000001
0,0,2,1,2,0,31,1656.73,31,0,0,0,0,5208.35
5,1,14,4,20,0,77,5208.35,77,56.65,2,66.95,6,9968.57000000001
3,1,15,3,19,0,107,9968.57000000001,107,332.19,6,1.1,1,45672.32
5,10,67,10,82,0,306,45672.32,306,1596.58,18,1264.58,64,28229.97
3,7,39,3,49,0,203,28229.97,203,1375.74,13,606,36,14853.34
6,5,34,1,45,0,132,14853.34,132,875.19,11,192.31,44,11847.78
2,1,22,3,25,0,127,11847.78,127,326.6,8,27.36,8,16885.22
11,3,80,14,94,13990.52,271,16885.22,271,128.36,4,880.090000000001,71,17376.35
4,5,59,7,68,0,573,24183.8799999999,571,242.78,9,0,0,32531.2699999999
14,16,134,19,164,0,781,32531.2699999999,781,428.07,16,204.58,49,42837.3799999998
25,24,441,19,490,23885.36,1212,42837.3799999998,1211,427.24,22,3187.3,357,46947.51
45,37,426,37,508,0,1459,46947.51,1458,464.65,24,4079.13999999999,575,30106.7699999999
29,39,272,27,340,0,843,30106.7699999999,840,364.18,14,1679.11,206,15952.15
21,13,142,9,176,0,458,15952.15,457,160.15,9,1096.87,119,46973.1199999999
26,30,223,16,279,0,1357,46973.1199999999,1347,449.49,21,4613.38,530,55120.1399999998
43,25,292,24,360,0,1393,55120.1399999998,1385,501.74,21,3349.29999999999,432,40356.9799999998
0,0,5,0,5,0,61,11163.75,61,321.52,4,0,0,38124.78
0,2,69,4,71,430843.95,222,38124.78,222,455.43,6,56.3,5,38475.7499999999
1,3,96,14,100,683318.05,229,38475.7499999999,229,263.04,3,224.04,20,46731.68
0,3,106,8,109,1219376.19,312,46731.68,310,520.91,9,2029.08,183,35613.65
0,2,81,8,83,212364.04,237,35613.65,233,565.06,8,961.49,88,22249.92
1,3,41,3,45,273929.11,139,22249.92,139,292.47,4,0,0,37092.57
0,1,39,5,40,353264.65,238,37092.57,236,535.97,8,839.130000000001,135,113353.61
3,4,156,17,163,971159.74,737,113353.61,735,2700.42,38,2407.97,295,130734.66
1,1,2074,54,2076,200678.27,928,66328.5999999999,928,732.81,14,25917.4800000001,877,99344.06
4,3,3737,19,3744,69236.27,1176,99344.06,1176,2733.65,48,31975.9100000001,1049,99167.2600000001
2,7,2049,7,2058,58605.31,901,99167.2600000001,901,1017.92,13,29888.59,680,63383.9600000001
1,4,554,5,559,56967,488,63383.9600000001,488,1744.07,27,15572.88,394,79317.3700000001
21,3,683,5,707,52611.2,420,79317.3700000001,420,2523.6,26,6626.77000000001,202,47562.58
5,3,61,6,69,661.62,228,47562.58,227,2785.94,28,0,0,52101.62
2,2,1113,11,1117,8930.67,501,52101.62,501,747.91,10,12176.13,335,142339.43
4,8,1801,9,1813,179095.57,1196,142339.43,1196,2578.01,38,16942.83,645,145850.919999999
1,0,11524,1,11525,111729.52,1974,83526.86,1974,512.42,16,27651.65,1721,80347.2400000001
5,7,15608,5,15620,0,2538,80347.2400000001,2538,505.81,15,48145.4,2214,174845.370000001
12,13,19156,12,19181,0,4430,174845.370000001,4430,3367.88,86,84680.12,3120,225080.260000003
42,47,12609,195,12698,0,4686,225080.260000003,4684,5281.91,148,54113.9200000001,2230,138257.569999999
20,30,10318,27,10368,0,3102,138257.569999999,3102,3056.21,77,44104.62,1816,27398.3099999999
11,10,99,12,120,0,391,27398.3099999999,391,743.44,21,7.35,4,47623.58
2,5,3768,5,3775,0,1556,47623.58,1555,538.17,16,31578.77,1335,137871.6
14,19,11938,35,11971,0,3690,137871.6,3689,2204.6,65,63713.9899999999,2856,154852.260000001
0,0,6,0,6,0,53,8670.85,53,317.11,4,0,0,3731.66
0,1,6,0,7,0,20,3731.66,20,65.48,1,0,0,8388.42
0,0,10,1,10,0,51,8388.42,51,409.09,4,0,0,9137.58
